size_mean,size_std,size_min,size_25%,size_50%,size_75%,size_max,minute,ID,Unnamed: 0_mean,Unnamed: 0_std,Unnamed: 0_min,Unnamed: 0_25%,Unnamed: 0_50%,Unnamed: 0_75%,Unnamed: 0_max
5062.783646043765,15526.797388208282,27.0,27.0,27.0,1051.0,65535.0,3,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5035.003866906047,15439.516526236419,27.0,27.0,27.0,1051.0,65535.0,4,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5068.592805809534,15526.000882952405,27.0,27.0,27.0,1051.0,65535.0,5,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5009.638540054464,15353.18166069749,27.0,27.0,27.0,1051.0,65535.0,6,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5092.5889061026855,15641.730819346043,27.0,27.0,27.0,1051.0,65535.0,7,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5057.100203658011,15564.009474372611,27.0,27.0,27.0,1051.0,65535.0,8,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5065.322119133011,15550.025625447308,27.0,27.0,27.0,1051.0,65535.0,9,./data/raw/Raw_traffic_and_movement_data/group1_order1_user6,,,,,,,
5090.056024067155,15629.169732726581,27.0,27.0,27.0,1051.0,65535.0,0,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,103044.5,59493.202826037195,0.0,51522.25,103044.5,154566.75,206089.0
5098.570919367693,15656.713284392526,27.0,27.0,27.0,1051.0,65535.0,1,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,308350.0,59040.27153985659,206090.0,257220.0,308350.0,359480.0,410610.0
5020.670141477894,15391.652215724338,27.0,27.0,27.0,1051.0,65535.0,2,./data/raw/Raw_traffic_and_movement_data/group1_order1_user7,514549.0,60009.06529155963,410611.0,462580.0,514549.0,566518.0,618487.0
